url,career_cluster,career_pathway,SOC,job_title,title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,income,csm.Title,csm.O.NET.SOC.Code,csm.degree,csm.closeness,csm.betweenness,ccm.Title,ccm.O.NET.SOC.Code,ccm.degree,ccm.closeness,ccm.betweenness
https://www.onetonline.org/link/details/11-9039.01,Education & Training,Administration and Administrative Support,11-9039.01,Distance Learning Coordinators,11-9039.01 - Distance Learning Coordinators,28,61,83,39,6,22,78210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9039.01,Education & Training,Administration and Administrative Support,11-9039.00,"Education Administrators, All Other",11-9039.01 - Distance Learning Coordinators,28,61,83,39,6,22,78210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9039.02,Education & Training,Administration and Administrative Support,11-9039.02,Fitness and Wellness Coordinators,11-9039.02 - Fitness and Wellness Coordinators,22,39,95,28,45,61,78210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9039.02,Education & Training,Administration and Administrative Support,11-9039.00,"Education Administrators, All Other",11-9039.02 - Fitness and Wellness Coordinators,22,39,95,28,45,61,78210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9041.00,"Science, Technology, Engineering & Mathematics",Engineering and Technology,11-9041.00,Architectural and Engineering Managers,11-9041.00 - Architectural and Engineering Managers,11,50,100,61,61,6,134730,Architectural and Engineering Managers,11-9041.00,11,0.000267953,577.8535667,Architectural and Engineering Managers,11-9041.00,12,0.000265675,501.174391
https://www.onetonline.org/link/details/11-9041.01,"Science, Technology, Engineering & Mathematics",Engineering and Technology,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01 - Biofuels/Biodiesel Technology and Product Development Managers,11,39,95,83,33,17,134730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9051.00,Hospitality & Tourism,Restaurants and Food/Beverage Services,11-9051.00,Food Service Managers,11-9051.00 - Food Service Managers,11,72,100,11,56,56,50820,Food Service Managers,11-9051.00,23,0.000310945,1793.664575,Food Service Managers,11-9051.00,13,0.000329815,3030.74591
https://www.onetonline.org/link/details/11-9061.00,Human Services,Personal Care Services,11-9061.00,Funeral Service Managers,11-9061.00 - Funeral Service Managers,17,61,100,17,6,56,73830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.onetonline.org/link/details/11-9071.00,Hospitality & Tourism,"Recreation, Amusements & Attractions",11-9071.00,Gaming Managers,11-9071.00 - Gaming Managers,11,67,100,17,39,33,69180,Gaming Managers,11-9071.00,12,0.000287853,621.5045511,Gaming Managers,11-9071.00,10,0.000311915,704.1326532
https://www.onetonline.org/link/details/11-9081.00,Hospitality & Tourism,Lodging,11-9081.00,Lodging Managers,11-9081.00 - Lodging Managers,6,72,100,11,33,50,51840,Lodging Managers,11-9081.00,20,0.00030303,1467.747599,Lodging Managers,11-9081.00,11,0.000311429,548.0838774
